Código;Nome;Turma;Módulo;Tipo de Oferta;Seg;Ter;Qua;Qui;Sex;Sab
SEN00260;ECONOMIA BRASILEIRA I;A1;60;Presencial;09:00-11:00;;09:00-11:00;;;
SEN00260;ECONOMIA BRASILEIRA I;P1;60;Presencial;18:00-20:00;;18:00-20:00;;;
SEN00261;ECONOMIA BRASILEIRA II;A1;60;Presencial;09:00-11:00;;09:00-11:00;;;
SEN00261;ECONOMIA BRASILEIRA II;P1;60;Presencial;18:00-20:00;;18:00-20:00;;;
SEN00149;ECONOMIA DA ENERGIA;A1;60;Presencial;;11:00-13:00;;11:00-13:00;;
STA00229;ECONOMIA DO SETOR PÚBLICO E REGULAÇÃO;P1;47;Presencial;;18:00-22:00;;;;
SEN00133;ECONOMIA DO TRABALHO;P1;50;Presencial;;20:00-22:00;;20:00-22:00;;
SEN00258;ECONOMIA FINANCEIRA;A1;60;Presencial;;11:00-13:00;;11:00-13:00;;
SEN00258;ECONOMIA FINANCEIRA;P1;60;Presencial;;20:00-22:00;;20:00-22:00;;
SEN00111;ECONOMIA INTERNACIONAL;P1;50;Presencial;20:00-22:00;;20:00-22:00;;;
SEN00178;ECONOMIA MATEMATICA;A1;50;Presencial;;;;;14:00-16:00,11:00-13:00;
SEN00118;ECONOMIA MONETÁRIA;P1;53;Presencial;18:00-20:00;;18:00-20:00;;;
GCV00304;ECONOMIA POLÍTICA DO AUDIOVISUAL;C1;45;Presencial;;;09:00-13:00;;;
SEN00227;ECONOMIA POLÍTICA DO MEIO AMBIENTE;P1;53;Presencial;;;;;18:00-22:00;
SEN00086;ECONOMIA POLÍTICA II;P1;50;Presencial;18:00-20:00;;18:00-20:00;;;
SEN00156;ELABORACAO E ANALISE DE PROJETOS;A1;53;Presencial;;09:00-11:00;;09:00-11:00;;
SEN00195;EXPERIÊNCIAS INDUSTRIAIS COMPARADAS;A1;50;Presencial;;;;;09:00-13:00;
SEN00103;FINANCAS INTERNACIONAIS;A1;50;Presencial;07:00-09:00;;07:00-09:00;;;
STA00162;FINANÇAS PÚBLICAS;P1;81;Presencial;;;;;18:00-22:00;
SEN00200;FINANÇAS PÚBLICAS NO BRASIL;A1;60;Presencial;11:00-13:00;;11:00-13:00;;;
SEN00256;FORMAÇÃO ECONÔMICA DO BRASIL I;A1;67;Presencial;09:00-11:00;;09:00-11:00;;;
SEN00256;FORMAÇÃO ECONÔMICA DO BRASIL I;P1;67;Presencial;18:00-20:00;;18:00-20:00;;;
GGE00138;GEOGRAFIA DA INDUSTRIA;A1;60;Presencial;;;;;18:00-22:00;
STA00175;GESTÃO DE PROJETOS;P1;53;Presencial;;;;18:00-22:00;;
STA00158;GESTÃO FINANCEIRA;P1;84;Presencial;;18:00-22:00;;;;
SEN00189;GESTÃO FINANCEIRA;P1;50;Presencial;;18:00-20:00;;18:00-20:00;;
STA00261;GESTÃO FINANCEIRA DE LONGO PRAZO;P1;55;Presencial;;18:00-22:00;;;;
GHT00313;HISTORIA ECONOMICA GERAL I;H1;60;Presencial;09:00-11:00;;09:00-11:00;;;
GHT00313;HISTORIA ECONOMICA GERAL I;H2;60;Presencial;18:00-20:00;;18:00-20:00;;;
STA00128;INTRODUÇÃO A ADMINISTRAÇÃO;C1;61;Presencial;;09:00-13:00;;;;
STE00058;INTRODUÇÃO AO EMPREENDEDORISMO;A1;32;Presencial;18:00-20:00;;;;;08:00-10:00
SEN00245;INTRODUÇÃO À EXTENSÃO UNIVERSITÁRIA;A1;60;Presencial;;09:00-11:00;;;;
SEN00245;INTRODUÇÃO À EXTENSÃO UNIVERSITÁRIA;P1;60;Presencial;;;;;18:00-20:00;
GFL00024;INTRODUÇÃO À FILOSOFIA;B1;60;Presencial;;;14:00-18:00;;;
GFL00024;INTRODUÇÃO À FILOSOFIA;D1;60;Presencial;;14:00-18:00;;;;
SGE00015;LABORATORIO DE MACROECONOMIA II;AA;60;Presencial;;;;;11:00-13:00;
SGE00015;LABORATORIO DE MACROECONOMIA II;PP;60;Presencial;;;;;20:00-22:00;
SGE00012;LABORATORIO DE MICROECONOMIA I;AA;32;Presencial;;;;;09:00-11:00;
SGE00012;LABORATORIO DE MICROECONOMIA I;AB;32;Presencial;;;;;09:00-11:00;
SGE00012;LABORATORIO DE MICROECONOMIA I;PP;32;Presencial;;;;;18:00-20:00;
SGE00012;LABORATORIO DE MICROECONOMIA I;PQ;32;Presencial;;;;;18:00-20:00;
SGE00013;LABORATORIO DE MICROECONOMIA II;AA;60;Presencial;;;;;09:00-11:00;
SGE00013;LABORATORIO DE MICROECONOMIA II;PP;60;Presencial;;;;;18:00-20:00;
SGE00014;LABORATORIO DE MICROECONOMIA III;AA;60;Presencial;;;;;09:00-11:00;
SGE00014;LABORATORIO DE MICROECONOMIA III;PP;60;Presencial;;;;;18:00-20:00;
SGE00026;LABORATÓRIO DE MACROECONOMIA I;AA;60;Presencial;;;;;11:00-13:00;
SGE00026;LABORATÓRIO DE MACROECONOMIA I;PP;60;Presencial;;;;;20:00-22:00;
SEN00207;MACROECONOMIA INTERTEMPORAL I;P1;50;Presencial;;;;;18:00-22:00;
STA00156;MARKETING;P1;51;Presencial;;;;18:00-22:00;;
GAN00146;MATEMÁTICA PARA ECONOMIA II;E1;50;Presencial;09:00-13:00;09:00-13:00;09:00-13:00;10:00-13:00;;
SEN00188;MERCADOS DE CAPITAIS;A1;50;Presencial;09:00-11:00;;09:00-11:00;;;
GET00118;METOD ESTAT APLICADOS A ECONOMIA II;A1;60;Presencial;;09:00-11:00;;09:00-11:00;;
GET00118;METOD ESTAT APLICADOS A ECONOMIA II;B1;60;Presencial;;20:00-22:00;;20:00-22:00;;
GET00117;METOD ESTATISTICOS APLICAD A ECONOMIA I;A1;60;Presencial;;09:00-11:00;;09:00-11:00;;
GET00117;METOD ESTATISTICOS APLICAD A ECONOMIA I;B1;60;Presencial;;20:00-22:00;;20:00-22:00;;
SEN00084;METODOL E TEC DE PESQUISA EM ECONOMIA;A1;60;Presencial;;;;;09:00-13:00;
SEN00084;METODOL E TEC DE PESQUISA EM ECONOMIA;P1;60;Presencial;;18:00-20:00;;18:00-20:00;;
SEN00091;METODOLOGIA DA ANALISE ECONOMICA;A1;50;Presencial;09:00-11:00;;09:00-11:00;;;
SEN00206;MODELOS DE CRESCIMENTO E DISTRIBUIÇÃO DE RENDA;A1;50;Presencial;11:00-13:00;;11:00-13:00;;;
SEN00209;MODELOS DE PREVISÃO MACROECONÔMICA;P1;50;Presencial;;18:00-20:00;;18:00-20:00;;
SEN00067;PENSAMENTO ECONOMICO I;A1;70;Presencial;11:00-13:00;;11:00-13:00;;;
SEN00067;PENSAMENTO ECONOMICO I;P1;60;Presencial;20:00-22:00;;20:00-22:00;;;
SEN00068;PENSAMENTO ECONOMICO II;A1;60;Presencial;11:00-13:00;;11:00-13:00;;;
SEN00068;PENSAMENTO ECONOMICO II;P1;60;Presencial;20:00-22:00;;20:00-22:00;;;
SEN00081;PENSAMENTO ECONOMICO IV;A1;60;Presencial;11:00-13:00;;11:00-13:00;;;
SEN00081;PENSAMENTO ECONOMICO IV;P1;60;Presencial;20:00-22:00;;20:00-22:00;;;
SEN00080;PENSAMENTO ECONÔMICO III;A1;60;Presencial;11:00-13:00;;11:00-13:00;;;
SEN00080;PENSAMENTO ECONÔMICO III;P1;60;Presencial;20:00-22:00;;20:00-22:00;;;
STA00231;PLANEJAMENTO E DECISÃO GOVERNAMENTAIS;P1;40;Presencial;;18:00-22:00;;;;
SEN00263;POLÍTICA DE DEFESA DA CONCORRÊNCIA;P1;50;Presencial;;;;;18:00-22:00;
SEN00184;POLÍTICA FISCAL KEYNESIANA;P1;50;Presencial;18:00-20:00;;18:00-20:00;;;
STA00232;POLÍTICAS PÚBLICAS: ELABORAÇÃO, EXECUÇÃO E AVALIAÇÃO;P1;40;Presencial;;18:00-22:00;;;;
SEN00143;TEORIA DO COMERCIO INTERNACIONAL I;P1;50;Presencial;;20:00-22:00;;20:00-22:00;;
SEN00137;TEORIA DOS JOGOS;A1;53;Presencial;;16:00-18:00;;16:00-18:00;;
SEN00076;TEORIA MACROECONOMICA I;A1;60;Presencial;;11:00-13:00;;11:00-13:00;;
SEN00076;TEORIA MACROECONOMICA I;P1;60;Presencial;;20:00-22:00;;20:00-22:00;;
SEN00077;TEORIA MACROECONOMICA II;A1;60;Presencial;;11:00-13:00;;11:00-13:00;;
SEN00077;TEORIA MACROECONOMICA II;P1;60;Presencial;;20:00-22:00;;20:00-22:00;;
SEN00078;TEORIA MACROECONOMICA III;A1;60;Presencial;;11:00-13:00;;11:00-13:00;;
SEN00078;TEORIA MACROECONOMICA III;P1;60;Presencial;;20:00-22:00;;20:00-22:00;;
SEN00079;TEORIA MACROECONÔMICA IV;A1;60;Presencial;;11:00-13:00;;11:00-13:00;;
SEN00079;TEORIA MACROECONÔMICA IV;P1;60;Presencial;;20:00-22:00;;20:00-22:00;;
SEN00073;TEORIA MICROECONOMICA II;A1;60;Presencial;;09:00-11:00;;09:00-11:00;;
SEN00073;TEORIA MICROECONOMICA II;P1;60;Presencial;;18:00-20:00;;18:00-20:00;;
SEN00074;TEORIA MICROECONOMICA III;A1;60;Presencial;;09:00-11:00;;09:00-11:00;;
SEN00074;TEORIA MICROECONOMICA III;P1;60;Presencial;;18:00-20:00;;18:00-20:00;;
SEN00075;TEORIA MICROECONOMICA IV;A1;60;Presencial;;09:00-11:00;;09:00-11:00;;
SEN00075;TEORIA MICROECONOMICA IV;P1;60;Presencial;;18:00-20:00;;18:00-20:00;;
SEN00072;TEORIA MICROECONÔMICA I;A1;32;Presencial;;09:00-11:00;;09:00-11:00;;
SEN00072;TEORIA MICROECONÔMICA I;A2;32;Presencial;;09:00-11:00;;09:00-11:00;;
SEN00072;TEORIA MICROECONÔMICA I;P1;32;Presencial;;18:00-20:00;;18:00-20:00;;
SEN00072;TEORIA MICROECONÔMICA I;P2;32;Presencial;;18:00-20:00;;18:00-20:00;;
SEN00119;TEORIA MONETÁRIA;A1;50;Presencial;;09:00-11:00;;09:00-11:00;;
SEN00114;TOP ESPEC EM DESENVOLV SOCIOECONOMICO I;A1;15;Presencial;;14:00-18:00;;;;
SEN00115;TOP ESPEC EM DESENVOLV SOCIOECONOMICO II;P1;50;Presencial;20:00-22:00;;20:00-22:00;;;
SEN00088;TOP ESPEC EM ECONOMIA POLÍTICA I;P1;50;Presencial;18:00-20:00;;18:00-20:00;;;
SEN00122;TOPICOS ESPECIAIS EM ECONOMETRIA I;A1;50;Presencial;16:00-18:00;;16:00-18:00;;;
GGE00168;TOPICOS ESPECIAIS EM GEOGRAFIA URBANA;A1;45;Presencial;;;;14:00-18:00;;
SEN00107;TOPICOS ESPECIAIS EM MACROECONOMIA I;P1;50;Presencial;;20:00-22:00;;20:00-22:00;;
SEN00108;TOPICOS ESPECIAIS EM MACROECONOMIA II;P1;50;Presencial;;18:00-20:00;;18:00-20:00;;
SGE00018;TRABALHO DE CONCLUSAO DE CURSO;AA;60;Presencial;;;;14:00-16:00;;11:00-18:00
SGE00018;TRABALHO DE CONCLUSAO DE CURSO;AB;75;Presencial;;;;;13:00-20:00;
SEN00203;TÓPICOS EM TEORIA MACROECONÔMICA E ANÁLISE EMPÍRICA;A1;50;Presencial;07:00-11:00;;;;;
SEN00154;TÓPICOS ESPECIAIS DE ECONOM DO MEIO AMBIENTE;A1;15;Presencial;;14:00-18:00;;;;
SEN00090;TÓPICOS ESPECIAIS EM ECONOMIA POLÍTICA III;A1;15;Presencial;;09:00-13:00;;;;
